last_scraped,source,name,description,neighborhood_overview,host_name,host_since,host_location,host_about,host_response_time,host_is_superhost,host_verifications,host_identity_verified,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,first_review,license,instant_bookable,id,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
2024-09-26,previous scrape,COOL PENT HOUSE APARTMENT @CONDESA,Amazing Pent House apartment in the heart fo Condesa,Información acerca del vecindario no proporcionada,Fernando,2010-08-09,2010-08-09,Condesa Haus  offers independent  studios and private rooms.,within an hour,t,"['email', 'phone', 'work_email']",t,Cuauhtémoc,Room in serviced apartment,Hotel room,1 private bath,"[""Iron"", ""Washer"", ""Wifi"", ""Host greets you"", ""Refrigerator"", ""Dishes and silverware"", ""Dishwasher"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Backyard"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dryer"", ""TV with standard cable"", ""Patio or balcony"", ""Kitchen"", ""Oven"", ""Smoke alarm"", ""Stove"", ""Free street parking"", ""Exterior security cameras on property"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",2015-01-05,No disponible,t,281134,1.0,0.93,12.0,13.0,19.41124,-99.17748,3.0,1.5,1.0,2.0,4216.0,1.0,365.0,2.0,365.0,14,33,43,312,7.0,0.0,4.71,4.71,5.0,5.0,5.0,4.86,0.06
2024-09-26,previous scrape,Descansa en la Suite de la Abuelita San Angel CDMX,"Beautiful, spacious and calm independent Suite on ground floor, fully decorated with Mexican hands&crafts, with a comfortable kingsize bed, 800 threads sheets.  Small dinning room.  Bathroom with bathtub. Kitchennette.  <br />Free WiFi, complimentary full breakfast and daily cleaning.<br />Located inside our Artist´s Residence, our guests can enjoy our common spaces: dinning room, living rooms, roof deck with BBQ and fire pit (available upon request for you and your friends).","San Ángel is a XVI century village nestled in the big Mexico City: its architecture is lovely and still preserve beautiful houses and gardens, and its safe to walk around its unique small alleys and secret spots.<br /><br />During the Viceroyalty in the XVI - XVIII centuries, San Angel was the perfect place for country homes to rest from the city. <br /><br />Walking distance, you will find several museums as the Carrillo Gil Modern Art Museum, the Diego Rivera and Frida Kahlo Studio Museum, the gorgeous Ex-Convento del Carmen Museum, the Mexican Revolutions Museum, la Casa del Risco or the Isidro Fabela House.<br /><br />You cannot miss the Bazaar del Sábado, on Saturdays... just 2 blocks away in Plaza San Jacinto, where local artists and all-around-the-country handcrafts market promenade is really enjoyable.<br /><br />Other nice neighborhoods as Coyoacan or Chimalistac, and the main campus of UNAM (National University) are close enough to visit plenty of cultural spots as the fantas",Martha Laura,2012-06-01,2012-06-01,"We are a mexican couple who has been together for more than 25 years. We have two teenagers: a daughter, a son.
We are in the IT business and we love to travel. We always travel as if it was the last trip of our lives. For us, family, love and harmony are essential in life. We enjoy contemporary art and we are dedicated to promoting mexican artists and culture in every place we visit. 
Pancho and I met scuba diving in 1994, therefore the sea, nature and outdoor activities are basic and necessary. We enjoy camping, scuba diving and sailing, sport in which we compete every month in Acapulco.
Lunch time is a special moment for us, a pause where we can enjoy and celebrate being together, a moment apart from the rush of the city where we prepare ourselves for the afternoon daily commitments.
We love Mexico and we are ambassadors of our country, we always talk about how great is the mexican spirit, its culture, gastronomy, nature, beaches and its history. If we had to choose another country to live, it would be Italy for the same reasons we love Mexico.
We recognize ourselves as entrepreneurs because of our professional upbringing, we generate projects and ideas, some of which become business ventures. We've always been motivated by the risk, investing time, money and effort to develop new ideas with a purposeful end. Another factor deeply rooted in our family is ecology and self sustainability and seek to have the least possible impact on our environment and our planet .
We have a francophile part because the 4 of Pancho's grandparents were born in France and married in Mexico . With some friends, we spontaneously create an amateur theater group fifteen years ago, ""Théâtre a la Dérive"", where we enjoy making plays in French just for the pleasure of the whole process, costumes, learning the script and friendship. The group is composed mainly by frenchies living in México.
Today what bring us here is that 14 years ago, on a sabathical year, we lived in a ""Chateau"" in France countryside, and we opened 11 rooms to host our beloved...  more than a hundred friends and family members came to visit and stayed with us in that 12th century castle. The uniqueness of this experience led us to replicate the model in Mexico, and we open our home with a project: Art Residence to share it with you, people with similar interests, that want to enjoy living among art in our village of San Angel,  town founded 500 years ago and today immersed in one of the largest and most exciting cities in the world: Mexico City. Welcome!

In our country we say to our guests: ""Mi casa es tu casa. My home is your home"".",within an hour,t,"['email', 'phone', 'work_email']",t,Álvaro Obregón,Room in boutique hotel,Hotel room,1 private bath,"[""Shared patio or balcony"", ""Iron"", ""Outdoor furniture"", ""High chair"", ""Paid washer \u2013 In building"", ""HDTV with standard cable, Amazon Prime Video, Apple TV, Netflix"", ""Heating"", ""Fire pit"", ""Children\u2019s books and toys"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Outdoor kitchen"", ""Hangers"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Breakfast"", ""Crib"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Luggage dropoff allowed"", ""Kitchen"", ""BBQ grill"", ""Outdoor dining area"", ""Paid parking off premises"", ""Smoke alarm"", ""Fast wifi \u2013 85 Mbps"", ""Fire extinguisher"", ""Pack \u2019n play/Travel crib"", ""Indoor fireplace: gas"", ""Paid dryer \u2013 In building"", ""Free street parking"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",2013-11-12,No disponible,f,1565220,1.0,0.92,8.0,9.0,19.34735,-99.19016,2.0,1.5,1.0,2.0,4216.0,1.0,1125.0,1.0,1125.0,1,31,61,336,28.0,0.0,4.96,5.0,5.0,4.96,4.93,4.93,0.21
2024-09-26,previous scrape,"Cómodo Estudio del Botánico, San Angel CDMX","Small, very practical and beautiful independent studio on first floor, with a comfortable queensize bed, 800 threads sheets. Private Bathroom. Kitchennette.<br />Free WiFi, optional full breakfast and daily cleaning.<br />Located inside our Artist´s Residence, our guests can enjoy our common spaces: dinning room, living rooms, roof deck with BBQ and fire pit (available upon request for you and your friends).","San Ángel is a XVI century village nestled in the big Mexico City: its architecture is lovely and still preserve beautiful houses and gardens, and its safe to walk around its unique small alleys and secret spots.<br /><br />During the Viceroyalty in the XVI - XVIII centuries, San Angel was the perfect place for country homes to rest from the city. <br /><br />Walking distance, you will find several museums as the Carrillo Gil Modern Art Museum, the Diego Rivera and Frida Kahlo Studio Museum, the gorgeous Ex-Convento del Carmen Museum, the Mexican Revolutions Museum, la Casa del Risco or the Isidro Fabela House.<br /><br />You cannot miss the Bazaar del Sábado, on Saturdays... just 2 blocks away in Plaza San Jacinto, where local artists and all-around-the-country handcrafts market promenade is really enjoyable.<br /><br />Other nice neighborhoods as Coyoacan or Chimalistac, and the main campus of UNAM (National University) are close enough to visit plenty of cultural spots as the fantas",Martha Laura,2012-06-01,2012-06-01,"We are a mexican couple who has been together for more than 25 years. We have two teenagers: a daughter, a son.
We are in the IT business and we love to travel. We always travel as if it was the last trip of our lives. For us, family, love and harmony are essential in life. We enjoy contemporary art and we are dedicated to promoting mexican artists and culture in every place we visit. 
Pancho and I met scuba diving in 1994, therefore the sea, nature and outdoor activities are basic and necessary. We enjoy camping, scuba diving and sailing, sport in which we compete every month in Acapulco.
Lunch time is a special moment for us, a pause where we can enjoy and celebrate being together, a moment apart from the rush of the city where we prepare ourselves for the afternoon daily commitments.
We love Mexico and we are ambassadors of our country, we always talk about how great is the mexican spirit, its culture, gastronomy, nature, beaches and its history. If we had to choose another country to live, it would be Italy for the same reasons we love Mexico.
We recognize ourselves as entrepreneurs because of our professional upbringing, we generate projects and ideas, some of which become business ventures. We've always been motivated by the risk, investing time, money and effort to develop new ideas with a purposeful end. Another factor deeply rooted in our family is ecology and self sustainability and seek to have the least possible impact on our environment and our planet .
We have a francophile part because the 4 of Pancho's grandparents were born in France and married in Mexico . With some friends, we spontaneously create an amateur theater group fifteen years ago, ""Théâtre a la Dérive"", where we enjoy making plays in French just for the pleasure of the whole process, costumes, learning the script and friendship. The group is composed mainly by frenchies living in México.
Today what bring us here is that 14 years ago, on a sabathical year, we lived in a ""Chateau"" in France countryside, and we opened 11 rooms to host our beloved...  more than a hundred friends and family members came to visit and stayed with us in that 12th century castle. The uniqueness of this experience led us to replicate the model in Mexico, and we open our home with a project: Art Residence to share it with you, people with similar interests, that want to enjoy living among art in our village of San Angel,  town founded 500 years ago and today immersed in one of the largest and most exciting cities in the world: Mexico City. Welcome!

In our country we say to our guests: ""Mi casa es tu casa. My home is your home"".",within an hour,t,"['email', 'phone', 'work_email']",t,Álvaro Obregón,Room in boutique hotel,Hotel room,1 private bath,"[""Shared patio or balcony"", ""Iron"", ""Outdoor furniture"", ""Wifi"", ""Paid washer \u2013 In building"", ""Heating"", ""Fire pit"", ""Children\u2019s books and toys"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Resort access"", ""Outdoor kitchen"", ""Hangers"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Breakfast"", ""Crib"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Luggage dropoff allowed"", ""Pocket wifi"", ""Kitchen"", ""Shared backyard \u2013 Fully fenced"", ""BBQ grill"", ""Outdoor dining area"", ""Paid parking off premises"", ""Smoke alarm"", ""Fire extinguisher"", ""Pack \u2019n play/Travel crib"", ""Indoor fireplace: gas"", ""Paid dryer \u2013 In building"", ""Free street parking"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",2014-03-04,No disponible,f,1736063,1.0,0.92,8.0,9.0,19.3486,-99.19296,2.0,1.5,1.0,2.0,4216.0,1.0,1125.0,1.0,1125.0,17,47,77,352,58.0,0.0,4.88,4.84,4.97,4.93,4.96,4.86,0.45
2024-09-26,city scrape,MODERN/HIP FURNISHED APARTMENT ( S1 Condesa Haus),"This is a one bedroom furnished apartment in the heart of the Condesa Neighborhood.<br /><br />All you need is to relax, and let us take care of you. The apartment has Wi fi Internet, Flat Cable TV , a fully equipped Kitchen w/utensils, living, a 4 seat dinning table and a small balcony . There is also a washer and dryer available. IF there are 3 guests we can add a twin bed in the living area, <br /><br />Services included. Wi fi internet, Cable TV and daily  house keeping 3 times a week for long stays .",Información acerca del vecindario no proporcionada,Fernando,2010-08-09,2010-08-09,Condesa Haus  offers independent  studios and private rooms.,within an hour,t,"['email', 'phone', 'work_email']",t,Cuauhtémoc,Room in serviced apartment,Hotel room,1 bath,"[""Dryer"", ""Iron"", ""Washer"", ""Carbon monoxide alarm"", ""Wifi"", ""Free parking on premises"", ""TV with standard cable"", ""Exterior security cameras on property"", ""Hangers"", ""Fire extinguisher"", ""Host greets you"", ""Kitchen"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Cooking basics"", ""Smoke alarm"", ""Hair dryer""]",2019-02-08,No disponible,t,571166,1.0,0.93,12.0,13.0,19.41346,-99.1775,3.0,1.0,1.0,1.0,1872.0,1.0,365.0,2.0,365.0,0,0,0,253,1.0,0.0,4.0,5.0,5.0,4.9,5.0,4.0,0.01
2024-09-26,city scrape,Business Suite BEIGE near Reforma,Descripción no proporcionada,"The area in which our service is located stands out for being the main commercial district of Mexico and having multiple tourist attractions. Cuenta con museos, bancos, oficinas trasnacionales, embajadas, parques, centros comerciales, cines y teatros. La zona es segura y con una alta demanda por ejecutivos y turistas. <br /><br />The area where our service is located is known as one of the main economic districts of Mexico and offers plenty of touristic sites as well. You’ll find museums, banks, parks, international office buildings, embassies, shopping malls, theaters, movie theaters, restaurants, and bars. The area is considered very safe and has a very high demand by business executives and tourists.",Hermann,2012-10-12,2012-10-12,"I am a 41 y/o architect responsible for the building and management of several Business Suites service. As owner, partner and architect, I can assure you I've made my best effort to design these spaces with the best materials, including a great design and making sure you receive the best of service.",within an hour,f,"['email', 'phone']",t,Cuauhtémoc,Room in serviced apartment,Hotel room,1 bath,"[""Iron"", ""Washer"", ""Wifi"", ""Host greets you"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Breakfast"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dryer"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Kitchen"", ""Smoke alarm"", ""Fire extinguisher"", ""Cooking basics"", ""Hair dryer""]",2013-01-05,No disponible,t,737328,1.0,0.89,19.0,21.0,19.43059,-99.17073,2.0,1.0,1.0,1.0,1275.0,2.0,730.0,2.0,1125.0,23,42,72,347,25.0,0.0,4.84,4.88,4.84,5.0,4.84,4.8,0.18
2024-09-26,city scrape,Business Suite RED near Reforma Av.,Descripción no proporcionada,Información acerca del vecindario no proporcionada,Hermann,2012-10-12,2012-10-12,"I am a 41 y/o architect responsible for the building and management of several Business Suites service. As owner, partner and architect, I can assure you I've made my best effort to design these spaces with the best materials, including a great design and making sure you receive the best of service.",within an hour,f,"['email', 'phone']",t,Cuauhtémoc,Room in serviced apartment,Hotel room,1 bath,"[""Iron"", ""Washer"", ""Wifi"", ""Host greets you"", ""Paid parking on premises"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dryer"", ""TV with standard cable"", ""Kitchen"", ""Smoke alarm"", ""Hair dryer"", ""Fire extinguisher"", ""Cooking basics"", ""Paid parking off premises""]",2013-03-02,No disponible,t,865012,1.0,0.89,19.0,21.0,19.43078,-99.17011,2.0,1.0,1.0,1.0,1275.0,2.0,730.0,2.0,1125.0,24,44,74,345,31.0,0.0,4.97,4.97,4.94,5.0,4.97,4.97,0.22
2024-09-26,city scrape,Business Suite PURPLE near Reforma,Descripción no proporcionada,Información acerca del vecindario no proporcionada,Hermann,2012-10-12,2012-10-12,"I am a 41 y/o architect responsible for the building and management of several Business Suites service. As owner, partner and architect, I can assure you I've made my best effort to design these spaces with the best materials, including a great design and making sure you receive the best of service.",within an hour,f,"['email', 'phone']",t,Cuauhtémoc,Room in serviced apartment,Hotel room,1 bath,"[""Iron"", ""Washer"", ""Wifi"", ""Dishes and silverware"", ""Self check-in"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dryer"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Kitchen"", ""Smoke alarm"", ""Fire extinguisher"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",2014-08-03,No disponible,t,868843,1.0,0.89,19.0,21.0,19.43068,-99.17007,2.0,1.0,1.0,1.0,1159.0,2.0,730.0,2.0,1125.0,25,40,70,345,55.0,0.0,4.98,4.98,4.87,4.98,4.98,4.89,0.44
2024-09-26,city scrape,Business Suite BLACK near Reforma,"Beautiful business suite facing our indoor patio. Fully equipped kitchen with refrigerator, cooker, microwave oven, blender, toaster, coffee machine and working bar. Living área, one queen size bed for one or two, balcony, large bathroom with shower.","We are located in the most developed area of Mexico City, close to museums, embassies,  international enterprises, malls, gyms, cinemas and all kinds of restaurants. This doesn't necessarilly mean you need to spend a lot of money to move around. You'll find inexpensive taco joints and small restaurants at walking distance. Other neighborhoods like Polanco, Condesa, Downtown and Santa Fe are located not so far away.",Hermann,2012-10-12,2012-10-12,"I am a 41 y/o architect responsible for the building and management of several Business Suites service. As owner, partner and architect, I can assure you I've made my best effort to design these spaces with the best materials, including a great design and making sure you receive the best of service.",within an hour,f,"['email', 'phone']",t,Cuauhtémoc,Room in serviced apartment,Hotel room,1 bath,"[""Iron"", ""Washer"", ""Wifi"", ""Self check-in"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dryer"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Kitchen"", ""Smoke alarm"", ""Cooking basics"", ""Fire extinguisher"", ""Smoking allowed"", ""Hair dryer"", ""Building staff""]",2016-01-05,No disponible,t,869063,1.0,0.89,19.0,21.0,19.43052,-99.17003,2.0,1.0,1.0,1.0,1353.0,2.0,730.0,2.0,1125.0,11,32,62,337,38.0,0.0,4.92,5.0,4.97,5.0,4.97,4.95,0.36
2024-09-26,city scrape,2 bedroom apt in Colonia Juarez,"Incredible apt, totally renovated: WIFI ,2 bedrooms, 1 bath, equipated kitchen, refrigerator, mocrowave, cleaning service once a week. Located in the incredible Colonia Juarez, an area with a lot of rentaurants, coffes and bars, only at 4 blocks of Reforma avenue,<br />2 of Colonia Roma, 2 of metro,  30 minutes walking ofCentro Histórico (downtown). One of the best and coolest areas to stay in the city.","Located in the very famous an cool Colonia Juarez, an area with a lot of historic buildings, a lot of restaurants, coffes and bars.",Suites,2012-05-03,2012-05-03,"Hola, ofrezco hospedaje en 3 lugares muy céntricos de la ciudad de México.
Me gusta que los huéspedes puedan disfrutar de un ambiente cómodo, céntrico y privado con precios accesibles.",within an hour,f,"['email', 'phone']",t,Cuauhtémoc,Room in serviced apartment,Hotel room,1 private bath,"[""Iron"", ""TV"", ""Wifi"", ""Elevator"", ""Heating"", ""Kitchen"", ""Refrigerator"", ""Dishes and silverware"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Paid parking off premises"", ""Cooking basics"", ""Single level home"", ""Hangers"", ""Microwave""]",2019-03-01,No disponible,f,2908932,1.0,0.98,44.0,48.0,19.42644,-99.161,4.0,1.0,1.0,3.0,1159.0,2.0,1125.0,2.0,1125.0,0,0,0,266,4.0,0.0,4.5,5.0,5.0,5.0,5.0,4.75,0.06
2024-09-26,city scrape,✯ MASTER SUITES PRIME LOCATION ✯,"Welcome to Mexico City! ✈  <br /><br />☆ It combines fully equipped Suites with a workspace, so you can work on success 24/7: Workspace for escaping the grind! ☆<br /><br />Special offer for groups:<br />☆ Weekly stay: 7th night free.<br />☆ Monthly stay: 4th week for free.<br /><br />Ultra-luxury Suites with one of the best facilities in Airbnb Mexico City: Fully equipped living and dining rooms with executive kitchen, all supplies included.","✦ ✧ Paseo de la Reforma is the most prestigious movement of the nation and is where the business center, embassies, prestigious shops, and high-class restaurants are located. There you will find many cafes and boutiques while walking through the ridges with gardens. ✧ ✦<br /><br />What to do within 15 min walking distance:<br /><br />* Parque Mexico * Cinepolis movie complex * Reforma 222 shopping mall * Chapultepec park & zoo  * Anthropology museum * Angel Obelisque  * US Embassy * Polanco * Zona Rosa gay area with dozens of restaurants & bars.",Thor,2015-06-09,2015-06-09,"Welcome, Airbnbers!

I am from Norway and raised in U.S.A. and Mexico City. As a global traveler & entrepreneur, I understand my guest's travel needs.  My passion for hospitality is based on offering: Prime location + Complimentary Housekeeping & Affordable = THE PERFECT STAY.

5 stars hospitality 
☆☆☆☆☆

I look forward to welcome you!

Thor",within a few hours,f,"['email', 'phone']",t,Cuauhtémoc,Room in bed and breakfast,Hotel room,No expecificado,"[""Iron"", ""Washer"", ""Wifi"", ""Self check-in"", ""Resort access"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""First aid kit"", ""Shared hot tub"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Kitchen"", ""EV charger"", ""Smoke alarm"", ""Shared pool"", ""Fire extinguisher"", ""Gym"", ""Hair dryer"", ""Building staff""]",2015-10-17,No disponible,t,6810808,1.0,0.31,58.0,69.0,19.42368,-99.17148,3.1,1.4,1.5,1.8,10144.0,1.0,1125.0,1.0,1125.0,30,60,90,365,6.0,0.0,4.17,4.33,4.33,4.33,4.33,4.0,0.06
