last_scraped,source,name,description,neighborhood_overview,host_name,host_since,host_location,host_about,host_response_time,host_is_superhost,host_verifications,host_identity_verified,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,first_review,license,instant_bookable,id,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
2024-09-26,previous scrape,Apt near Mexico City's downtown,Descripción no proporcionada,Información acerca del vecindario no proporcionada,Andoni,2012-07-26,2012-07-26,Hi! Feel free to contact me if you have any inquiries about my listing. Thank you!,within an hour,f,"['email', 'phone']",f,Cuauhtémoc,Shared room in rental unit,Shared room,1.5 shared baths,"[""Washer"", ""Wifi"", ""TV with standard cable"", ""Breakfast"", ""Kitchen""]",9999-01-01,No disponible,f,617137,1.0,1.0,1.0,1.0,19.44614,-99.15868,2.0,1.5,1.6,2.0,300.0,1.0,1125.0,1.0,1125.0,0,0,0,0,0.0,0.0,4.8,4.9,4.8,4.8,4.8,4.7,1.7
2024-09-26,city scrape,cuarto con terraza y uso general,"double bed , full bathroom, room with own terrace, PH new in colonia condesa, views of Trees in front of the Roof top, very ventilated, trees, new and complete kitchen, Roof Top private , parking place, Total Play spacious package included, wifi, dressing room, among the 3 best PH in condesa, 5 min walk to Parque México, super central in the heart of the countess, ecobici in front, all necessary services walking","Condesa is the main attraction in the city for its beautiful vegetation, restaurants, bars, parks, it is a small cosmopolitan town inhabiting foreigners from all over the world who have come to put their businesses or are digital nomads living with luxuries and services much more economical than in their countries",Jordi,2014-05-30,2014-05-30,muy bna persona espiritual deportista ,a few days or more,f,"['email', 'phone']",t,Cuauhtémoc,Shared room in loft,Shared room,1.5 shared baths,"[""Free parking on premises"", ""Washer"", ""TV"", ""Wifi"", ""Fire pit"", ""City skyline view"", ""Kitchen"", ""Outdoor dining area"", ""Dedicated workspace""]",9999-01-01,No disponible,t,3197924,1.0,0.9,3.0,8.0,19.4076432,-99.1739316,1.0,1.5,2.0,2.0,640.0,2.0,365.0,2.0,365.0,30,60,90,364,0.0,0.0,4.8,4.9,4.8,4.8,4.8,4.7,1.7
2024-09-26,city scrape,メキシコシティの革命記念塔付近のホステルです。,Single Room $30<br />Double room $60<br />Dormitory $15<br /><br />Public Transportation<br />30 minutes by taxi from the airport USD15.00 (MXN215.00)<br />As of February 2015<br /><br />Subway <br />Review 3min walk... see more<br /><br />メトロバス<br />PLAZA DE LA REPUBLICA 徒歩8分<br />BUENAVISTA 15,Información acerca del vecindario no proporcionada,Tetsuo,2015-02-22,2015-02-22,"DOMITORY 15USD PER PERSON
HABITACION SINGLE 30USD
HABITACION TWIN 45USD 

HOSTEL TRAVELSTATIONMEXICO",within a few hours,t,"['email', 'phone']",t,Cuauhtémoc,Shared room in guesthouse,Shared room,8 shared baths,"[""Iron"", ""Washer"", ""Wifi"", ""Refrigerator"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Long term stays allowed"", ""Shampoo"", ""Hot water"", ""TV"", ""Patio or balcony"", ""Kitchen"", ""BBQ grill"", ""Smoke alarm"", ""Free street parking"", ""Exterior security cameras on property"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",2015-05-23,No disponible,f,5434219,1.0,0.85,2.0,2.0,19.43883,-99.15283,3.1,1.4,1.0,1.8,290.0,2.0,1125.0,2.0,1125.0,28,55,85,360,34.0,2.0,4.44,4.74,4.47,4.71,4.71,4.59,0.3
2024-09-25,city scrape,SUPER SAVER GROUP DEAL - PERFECT FOR STUDENTS,"Welcome to the best college-style dorms in a Boutique concept!<br /><br />We have available 100 beds in 15 dormitories, parquet floors, high ceilings, large windows with balcony colonial style. We have designed every dorm in a special, spacious and bright way.<br /><br />We are a unique hostel that boasts a fantastically social and cozy atmosphere, fully redesigned lobby area, a friendly staff, and a fabulous location. We have a kitchen, Wifi, and luggage storage, which means staying with us is a great value.",Información acerca del vecindario no proporcionada,Thor,2015-06-09,2015-06-09,"Welcome, Airbnbers!

I am from Norway and raised in U.S.A. and Mexico City. As a global traveler & entrepreneur, I understand my guest's travel needs.  My passion for hospitality is based on offering: Prime location + Complimentary Housekeeping & Affordable = THE PERFECT STAY.

5 stars hospitality 
☆☆☆☆☆

I look forward to welcome you!

Thor",within a few hours,f,"['email', 'phone']",t,Cuauhtémoc,Shared room in hostel,Shared room,4 shared baths,"[""Carbon monoxide alarm"", ""Washer"", ""Wifi"", ""TV with standard cable"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Smoking allowed"", ""Smoke alarm""]",9999-01-01,No disponible,f,6972071,1.0,0.31,58.0,69.0,19.42884,-99.13573,3.1,4.0,1.0,1.8,5314.0,1.0,1125.0,1.0,1125.0,30,60,90,365,0.0,0.0,4.8,4.9,4.8,4.8,4.8,4.7,1.7
2024-09-25,city scrape,Nova House,"It has all the comforts to rest if you come for work or travel, has a terrace with hammocks which makes it special. It is located near the historic center, airport and terminals. You can get to know a traditional and cheap neighborhood.","The neighborhood is popular where you can experience the Mexican culture of its streets and mainly food shops, and if you stay more than 2 nights you can shop in the supermarket to save money.",Antonio,2015-04-17,2015-04-17,Información acerca del anfitrión del no proporcionada,within a few hours,t,"['email', 'phone', 'work_email']",t,Venustiano Carranza,Shared room in home,Shared room,3 shared baths,"[""Carbon monoxide alarm"", ""Washer"", ""Wifi"", ""Backyard"", ""TV with standard cable"", ""Patio or balcony"", ""Smoking allowed"", ""Kitchen"", ""First aid kit"", ""Refrigerator"", ""Dishes and silverware"", ""Essentials"", ""Free street parking"", ""Exterior security cameras on property"", ""Cooking basics"", ""Microwave""]",2015-05-22,No disponible,t,6076798,1.0,0.94,2.0,2.0,19.44329,-99.10947,3.1,3.0,1.0,1.8,550.0,1.0,1125.0,1.0,1125.0,0,0,0,267,85.0,0.0,4.85,4.84,4.93,4.91,4.69,4.93,0.75
2024-09-25,city scrape,Sala de estar en DF,"Stay in our downtown brick apartment. It has a genuinely urban touch. At the moment I am not offering you a private room but it is ideal for you to sleep, bathe and make your belongings safe. Come on weekends and I give you an unforgettable tour! WELCOME.",We are close to everything! You can walk or bike to many sights. The subway and the subway bus are super close.,Héctor,2015-04-27,2015-04-27,"Me gusta mucho la buena comida ya sea en algún lugar de moda, en un mercado, puesto de la calle o en algún lugar secreto. Disfruto mucho del cine, viajar, conocer gente nueva, el café, la cerveza, el mezcal, bailar, la música, los museos y el cine. Casi siempre ando en bici. ",within an hour,f,"['email', 'phone']",t,Cuauhtémoc,Shared room in rental unit,Shared room,1 shared bath,"[""Wifi"", ""TV with standard cable"", ""Kitchen"", ""Essentials"", ""Shampoo""]",9999-01-01,No disponible,f,6312611,1.0,1.0,1.0,1.0,19.41918,-99.15167,1.0,1.0,1.0,1.0,200.0,1.0,1125.0,1.0,1125.0,28,58,88,363,0.0,0.0,4.8,4.9,4.8,4.8,4.8,4.7,1.7
2024-09-26,city scrape,Capsule Hostel Mexico City,"Unique concept in Mexico, inspired by the capsule hotels of Japan without losing the essence of a European hostel.We look for a way to have guests in shared rooms without losing their (URL HIDDEN) most of the rooms have climate","Attractives of Colonia Juárez<br /> It has a total catalogue of 249 buildings of architectural magnificence and artistic interest; 31 of them recognized for their historical value and 218 for architectural value.<br /> It has the Tourist corridor of the Paseo de la Reforma, and concentrates a lot of boutiques, hotels, bars, restaurants, art galleries, cafes, ants, bookstores, art galleries and offices<br /> Its location is excellent, as it has a vast public transport system to access it: by four Metro stations (Chapultepec, Sevilla, Insurgentes and Cuauhtémoc) also the Metrobus on line one that goes through Avenida Insurgentes (Reforma, Hamburg and Insurgentes stations), or through the Ecobus that runs along Reforma.",Rafael,2015-08-18,2015-08-18,"hola soy una muy responsable y dedicada, busco la excelencia en mi vida, me gusta dejar el nombre de mi país en Alto, por tal motivo intento dar una experiencia inigualable a mis clientes.",within an hour,f,['phone'],t,Cuauhtémoc,Shared room in hostel,Shared room,5 shared baths,"[""Iron"", ""Carbon monoxide alarm"", ""Wifi"", ""Laundromat nearby"", ""Fire extinguisher"", ""Self check-in"", ""Essentials"", ""Shampoo"", ""Exterior security cameras on property"", ""Smoke alarm"", ""Building staff""]",2016-11-02,No disponible,f,7933584,1.0,0.97,1.0,2.0,19.42818,-99.16122,3.1,1.4,1.0,1.8,300.0,1.0,1125.0,1.0,1125.0,25,55,85,360,169.0,4.0,4.58,4.66,4.54,4.72,4.89,4.65,1.76
2024-09-25,city scrape,Cuarto con Tv y gran ubicación,"It is a room in the heart of South Rome, because of the location of the apartment you always see the best sunsets.<br />All amenities are available: Wifi +TV+Refrigerator one bed ( and an extra mattress) is steps from the metro and metrobus","There are two supermarkets that you can walk to, a shopping mall called Delta Park that you also walk to, and in general there are many restaurants and bars to visit in the area.",Eli Duarte,2016-03-21,2016-03-21,"Hola! Me llamo Eli, trabajé 5 años en marketing digital en México, ahora estoy estudiando en Irlanda y me encanta la idea de viajar por el mundo.

Trabajo en proyectos relacionados a la educación el arte y periodismo.",within an hour,f,"['email', 'phone']",t,Cuauhtémoc,Shared room in rental unit,Shared room,1 shared bath,"[""Iron"", ""Wifi"", ""TV with standard cable"", ""Kitchen"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Pets allowed"", ""Smoking allowed""]",9999-01-01,No disponible,f,11964525,1.0,1.0,1.0,1.0,19.40665,-99.15955,2.0,1.0,1.0,2.0,3800.0,4.0,34.0,4.0,34.0,30,60,90,365,0.0,0.0,4.8,4.9,4.8,4.8,4.8,4.7,1.7
2024-09-25,city scrape,Boutique Hostel lifestyle. Cheap & Chic.,"Welcome, to the best value for groups of up to 28 guests. Unbeatable Location, near all points of interest: museums, historic monuments, shopping.<br /><br />Where love for art, culture, and hosting merge!","As the development of the historic center of Mexico City for decades impaired with respect to their economic, aesthetic and commercial, the building had exactly the same evolution over the years, was built between the eighteenth and nineteenth centuries , its original use in the early history home house money just as later spin as trade, warehouse and workshop which is then used as offices and training center.",Thor,2015-06-09,2015-06-09,"Welcome, Airbnbers!

I am from Norway and raised in U.S.A. and Mexico City. As a global traveler & entrepreneur, I understand my guest's travel needs.  My passion for hospitality is based on offering: Prime location + Complimentary Housekeeping & Affordable = THE PERFECT STAY.

5 stars hospitality 
☆☆☆☆☆

I look forward to welcome you!

Thor",within a few hours,f,"['email', 'phone']",t,Cuauhtémoc,Shared room in hostel,Shared room,1 shared bath,"[""Dryer"", ""Washer"", ""Carbon monoxide alarm"", ""Wifi"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Smoking allowed"", ""Smoke alarm"", ""Hangers""]",9999-01-01,No disponible,f,13221271,1.0,0.31,58.0,69.0,19.42889,-99.13582,3.1,1.0,1.0,1.8,3382.0,1.0,1125.0,1.0,1125.0,28,58,88,363,0.0,0.0,4.8,4.9,4.8,4.8,4.8,4.7,1.7
2024-09-25,city scrape,Cuarto para estudiantes FES ZARAGO,"Comfortable rooms (2) for students, two beds, half bathroom, study area, services included. Close to UNAM FES ZARAGOZA.<br /><br />On the ground floor there is an inexpensive kitchen. It offers delicious dishes at an affordable price.",Información acerca del vecindario no proporcionada,Alejandro,2016-05-24,2016-05-24,Información acerca del anfitrión del no proporcionada,a few days or more,f,"['email', 'phone']",t,Iztapalapa,Shared room in home,Shared room,1 shared bath,"[""Wifi"", ""Essentials""]",2016-07-28,No disponible,t,13293812,1.0,0.25,1.0,2.0,19.37201,-99.2,2.0,1.0,1.0,1.0,222.0,1.0,1125.0,1.0,1125.0,30,60,89,89,2.0,0.0,4.5,4.5,4.5,4.5,5.0,5.0,0.02
